Item/State,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012 P
  Maine," 1,430 "," 1,260 ", NA , NA , NA , NA , NA ," 1,540 ", NA , NA , NA ," 1,355 ", NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA 
  Michigan," 4,360 "," 5,310 ", NA ," 4,095 ", NA , NA ," 3,800 ", NA , NA ," 3,756 ", NA , NA ," 2,620 "," 5,610 "," 3,030 "," 4,110 "," 2,550 "," 4,360 "," 2,990 "," 4,220 "," 3,710 "," 4,170 "," 3,790 "," 3,900 "," 4,600 "," 3,930 "," 4,970 "," 5,030 "," 5,910 "," 5,350 "," 5,860 "," 3,750 "," 4,420 "
  New Jersey," 3,210 "," 3,590 "," 4,000 "," 2,950 "," 3,800 "," 4,550 "," 3,800 "," 3,030 "," 2,860 "," 3,850 "," 3,040 "," 3,900 "," 3,030 "," 3,890 "," 4,140 "," 4,610 "," 4,530 "," 4,590 "," 4,800 "," 5,200 "," 4,530 "," 5,000 "," 5,680 "," 5,330 "," 5,200 "," 6,000 "," 6,840 "," 7,110 "," 7,760 "," 6,880 "," 6,530 "," 8,050 "," 6,870 "
  North Carolina," 1,990 "," 2,230 "," 1,530 "," 1,650 "," 2,940 ", 530 ," 1,760 "," 3,370 "," 3,860 "," 2,940 "," 2,100 "," 3,970 "," 3,790 "," 5,170 "," 5,000 "," 4,380 "," 3,440 "," 2,650 "," 4,730 "," 4,060 "," 4,860 "," 5,000 "," 4,190 "," 5,360 "," 5,200 "," 5,200 "," 5,430 "," 3,450 "," 5,940 "," 5,950 "," 7,100 "," 6,240 "," 7,020 "
  Oregon," 5,976 "," 6,513 "," 6,139 "," 7,500 "," 6,000 "," 6,500 "," 6,733 "," 7,692 "," 7,854 "," 8,190 "," 7,900 "," 8,070 "," 8,610 "," 7,840 "," 8,970 "," 7,180 "," 8,100 "," 8,400 "," 8,650 "," 8,040 "," 9,350 "," 8,910 "," 7,790 "," 6,640 "," 8,950 "," 8,210 "," 7,910 "," 9,000 "," 8,290 "," 8,420 "," 7,280 "," 8,400 "," 9,110 "
  Washington," 6,380 "," 5,750 "," 6,800 "," 8,000 "," 6,000 "," 6,875 "," 3,625 "," 7,000 "," 6,500 "," 7,000 "," 7,400 "," 5,500 "," 6,800 "," 5,600 "," 6,200 "," 4,500 "," 6,300 "," 6,700 "," 7,000 "," 6,800 "," 7,300 "," 7,500 "," 6,500 "," 6,000 "," 7,500 "," 7,000 "," 5,590 "," 8,000 "," 7,800 "," 8,130 "," 8,080 "," 8,710 "," 8,750 "
  Alabama, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , 800 , 300 ," 1,260 "," 1,300 "," 1,300 "," 1,400 "," 1,610 "," 2,100 "," 1,500 "," 1,710 "," 1,430 "," 1,410 "," 1,910 "," 1,870 "," 1,210 "," 1,520 "," 1,130 ", 968 ," 1,260 "," 1,250 "," 1,560 "
  Arkansas, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 2,570 "," 2,860 "," 2,430 "," 2,430 "," 1,670 "," 3,000 "," 1,800 "," 2,510 "," 2,660 "," 2,040 "," 2,950 "," 2,820 "," 3,400 "," 2,550 "," 3,020 ", 259 ," 2,670 "," 1,670 "," 2,170 "," 1,600 "," 1,600 "
  Florida, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 1,750 "," 1,000 "," 2,310 "," 1,920 "," 1,770 "," 1,670 "," 1,670 "," 1,210 "," 2,000 "," 2,070 "," 1,810 "," 1,840 "," 2,430 "," 2,080 "," 2,690 "," 3,000 "," 3,270 "," 4,220 "," 4,690 "," 5,630 "," 3,800 "
  Georgia, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 3,430 "," 1,490 "," 2,030 "," 3,510 "," 1,570 "," 3,250 "," 1,700 "," 2,500 "," 4,130 "," 3,700 "," 3,780 "," 3,780 "," 4,380 "," 4,330 "," 4,500 "," 2,290 "," 4,320 "," 4,100 "," 4,460 "," 5,170 "," 4,670 "
  Indiana, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 3,330 "," 3,370 "," 3,250 "," 4,580 "," 3,500 "," 4,380 "," 3,920 "," 3,640 "," 3,470 "," 2,240 "," 4,620 "," 3,000 "," 5,000 "," 5,830 "," 5,480 "," 2,410 "," 5,760 "," 5,610 "," 5,370 "," 2,460 "," 3,750 "
  New York, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 2,000 "," 3,000 "," 1,970 "," 1,830 "," 1,850 "," 2,140 "," 2,140 "," 2,290 "," 2,710 "," 2,140 "," 2,710 "," 2,500 "," 2,130 "," 1,650 "," 2,220 "," 2,560 "," 2,560 "," 2,330 "," 2,330 "," 2,000 "," 1,890 "
  California, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 4,790 "," 5,000 "," 7,170 "," 5,600 "," 8,070 "," 7,180 "," 9,790 "," 8,700 "
  Mississippi, NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA , NA ," 2,300 "," 4,320 "," 1,480 "," 2,190 "," 2,960 "," 3,890 "," 3,330 "
